County,Population,State,mergedkeycol,Low Access Numbers.Low Income People.1/2 Mile,Low Access Numbers.People.1/2 Mile,Percentage of Low Income People,Education.Bachelor's Degree or Higher,Education.High School or Higher,Ethnicities.Black Alone,Ethnicities.Hispanic or Latino,"Ethnicities.White Alone	 not Hispanic or Latino",Ethnicities.Asian Alone,Housing.Homeownership Rate,Housing.Median Value of Owner-Occupied Units,Income.Median Houseold Income,Miscellaneous.Foreign Born,Miscellaneous.Language Other than English at Home,Population.Population per Square Mile,Employment.Firms.Minority-Owned,Employment.Firms.Nonminority-Owned,Employment.Firms.Total,Percentage of Minority Businesses
itascacounty,45058,mn,itascacountymn,12621,38935,0.324155644,23.1,94,0.5,1.6,91.5,0.4,81.3,164100,55139,1.1,2.4,16.9,85,3589,3873,0.021946811
jacksoncounty,10266,mn,jacksoncountymn,2274,8553,0.265871624,22.6,92.7,0.8,4.2,91.7,1.7,81,124900,58727,3.3,5.4,14.6,0,935,1009,0
kanabeccounty,16239,mn,kanabeccountymn,4457,14546,0.30640726,14.7,90.2,0.6,1.7,94.4,0.7,84.8,163900,57163,1,2.8,31.1,41,1167,1245,0.032931727
kandiyohicounty,42239,mn,kandiyohicountymn,11351,37477,0.302879099,23.3,89,6.7,12.6,78.5,1.2,74,168900,60294,8.3,14.3,53,202,3924,4269,0.047317873
kittsoncounty,4552,mn,kittsoncountymn,953,3347,0.284732596,25.9,94.5,0.7,2.5,94.8,0.7,80.5,84200,59643,2.4,2.9,4.1,0,554,577,0
koochichingcounty,13311,mn,koochichingcountymn,2850,9582,0.297432686,15.5,91.9,0.7,1.3,93.2,0.6,78.8,108400,50870,5.9,4.3,4.3,40,961,1076,0.037174721
lacquiparlecounty,7259,mn,lacquiparlecountymn,1364,5267,0.258970951,18.8,93.3,0.8,2.5,94.3,0.9,80.9,88600,53071,2.7,4.2,9.5,0,686,725,0
lakecounty,10866,mn,lakecountymn,2243,8995,0.249360756,28.8,94.7,0.6,1.4,95.3,0.6,82,174700,61452,1.4,1.8,5.2,0,961,1065,0
lakeofthewoodscounty,4045,mn,lakeofthewoodscountymn,834,3252,0.256457565,16.7,93,0.7,1.7,92.5,1.7,80.9,161900,49967,0.7,1,3.1,0,365,400,0
lesueurcounty,27703,mn,lesueurcountymn,4225,20108,0.210115377,23,93.9,0.9,6.8,90.3,0.7,81.6,207400,71080,2.6,6,61.7,54,2318,2459,0.021960146
lincolncounty,5896,mn,lincolncountymn,1304,4557,0.286153171,19.3,91.9,0.3,2.3,95.5,0.5,78.8,103100,53077,1,1.3,11,0,550,578,0
lyoncounty,25857,mn,lyoncountymn,7614,23452,0.324663142,26.1,92,3.4,7.2,83.3,4.7,68.4,148900,57730,8,11.4,36.2,54,1811,1983,0.027231467
mahnomencounty,5413,mn,mahnomencountymn,1991,4318,0.461093099,13.2,86.9,0.7,4.3,44.9,0.1,68,104800,44688,0.7,8.2,9.7,108,184,323,0.334365325
marshallcounty,9439,mn,marshallcountymn,2159,8548,0.252573701,19.1,90,0.5,4.7,93,0.4,82.6,117000,60118,1.6,4.6,5.3,0,623,667,0
martincounty,20840,mn,martincountymn,4846,18015,0.268998057,20.5,93.2,0.9,5,92.3,0.7,73.8,118300,52798,1.6,3.8,29.3,43,1696,1852,0.023218143
mcleodcounty,36651,mn,mcleodcountymn,8555,33558,0.25493176,17.6,93.1,0.8,6.6,90.5,0.8,77.7,164700,62121,3,5.6,74.6,61,2811,3006,0.020292748
meekercounty,23300,mn,meekercountymn,5454,22230,0.24534413,19.5,92.6,0.8,4.3,93.5,0.4,80.4,170200,63452,1.7,3.8,38.3,0,1807,1906,0
millelacscounty,26097,mn,millelacscountymn,7302,22519,0.324259514,14.7,89.8,0.7,2.6,88.6,0.7,75.1,163300,56135,1.3,3.1,45.6,75,2525,2661,0.028184893
morrisoncounty,33198,mn,morrisoncountymn,8748,30027,0.291337796,17.3,90.7,0.9,1.9,95.6,0.4,77.2,170100,57815,1.4,2.7,29.5,31,3252,3373,0.009190631
mowercounty,39163,mn,mowercountymn,9982,31474,0.317150664,22.2,87.6,3.9,12.2,76.7,5.3,73,123900,54295,11.6,17.7,55.1,82,2485,2768,0.029624277
murraycounty,8725,mn,murraycountymn,1585,6605,0.23996972,20.7,90.2,0.5,4.4,92.2,1.6,81.2,120100,60231,3.4,5.4,12.4,0,778,847,0
nicolletcounty,32727,mn,nicolletcountymn,5677,28688,0.197887619,33.8,94,3.9,4.9,87.9,1.6,73.9,191900,67399,4.5,6,73,147,2140,2371,0.061999156
noblescounty,21378,mn,noblescountymn,5711,16494,0.34624712,15.3,76.3,4.8,29.4,57.7,7.2,70.7,127100,55304,19.8,32.2,29.9,100,1314,1532,0.065274151
normancounty,6852,mn,normancountymn,1446,4936,0.292949757,19.1,91.9,0.9,5.1,89.2,0.7,81.9,100700,55085,2,4.6,7.9,0,774,824,0
olmstedcounty,144248,mn,olmstedcountymn,20810,111463,0.186698725,44.9,94.6,6.9,5.2,79.1,6.6,72.7,214600,76951,11.1,13.9,220.8,1191,10588,12346,0.096468492
ottertailcounty,57303,mn,ottertailcountymn,13596,50209,0.270788106,24.9,92.1,1.7,3.7,92.2,0.6,78.3,189100,58682,2.6,5,29.1,153,5602,5975,0.025606695
penningtoncounty,13930,mn,penningtoncountymn,2413,9561,0.252379458,19.3,93.2,1.3,4.1,90.2,0.9,72.8,155100,60122,2.3,5.2,22.6,0,898,975,0
pinecounty,29750,mn,pinecountymn,8690,25705,0.338066524,14.9,90.4,2.3,3,89,0.8,80.9,164500,53422,1.2,4.5,21.1,98,2284,2466,0.03974047
pipestonecounty,9596,mn,pipestonecountymn,2063,6808,0.303025852,21.3,89.6,1.9,7.6,86.7,1.2,74.9,97500,52917,5.5,7.2,20.6,0,886,949,0
polkcounty,31600,mn,polkcountymn,6795,25250,0.269108911,25.3,91.9,3.1,6.6,86.1,1,72.9,165000,59343,4,7,16,129,2688,2968,0.043463612
popecounty,10995,mn,popecountymn,1989,8329,0.238804178,22.9,94,0.5,2,95.5,0.6,77.5,174300,61275,1.2,2.2,16.4,0,814,844,0
ramseycounty,508640,mn,ramseycountymn,87983,318987,0.275820018,42.3,90.3,12.9,7.5,61.1,15.3,59.4,229600,64660,16,23.4,3341.7,9506,35648,47210,0.201355645
redlakecounty,4089,mn,redlakecountymn,1081,4089,0.264367816,16.2,92.6,0.7,4.1,91.5,0.4,83.6,116000,58576,1.1,3.3,9.5,0,366,380,0
redwoodcounty,16059,mn,redwoodcountymn,4210,13333,0.315757894,19.1,90.9,1.1,3.8,86.4,2.6,78.5,106300,55404,2.4,4.5,18.3,43,1194,1304,0.03297546
renvillecounty,15730,mn,renvillecountymn,3612,13212,0.273387829,15.2,90.5,0.6,9,87.3,0.9,78,106300,59028,3.1,7.6,16,0,1065,1148,0
ricecounty,64142,mn,ricecountymn,13725,53117,0.258391852,28.3,91.1,6.2,8.5,81.3,2.2,74,208600,68584,7.8,13.5,129.4,264,4688,5138,0.051381861
rockcounty,9687,mn,rockcountymn,1750,8177,0.21401492,23.8,93.3,0.9,3.5,93,0.8,75.5,153000,63005,1.6,2.6,20.1,0,803,840,0
roseaucounty,15629,mn,roseaucountymn,3775,14037,0.268932108,20.3,92.9,0.7,1.5,91.5,2.8,81.6,132800,62202,3.9,3.6,9.3,40,1475,1566,0.025542784
scottcounty,129928,mn,scottcountymn,15146,106223,0.142586822,39.9,94.7,5.4,5.3,80.1,6.4,82.8,299700,102152,9.5,13.4,364.5,1095,9924,11337,0.096586399
sherburnecounty,88499,mn,sherburnecountymn,14056,80853,0.173846363,26.6,94.6,3.2,2.8,90.5,1.3,83.6,230500,89250,3.4,4.9,204.4,261,7221,7665,0.034050881
sibleycounty,15226,mn,sibleycountymn,2389,10789,0.221429233,16.4,90.7,0.8,9.3,88,0.7,79.1,159200,63439,5.1,9.5,25.9,44,1156,1233,0.03568532
st.louiscounty,200226,mn,st.louiscountymn,45083,153545,0.29361425,29.3,94.5,1.7,1.8,90.9,1.1,71.3,157900,55646,2.5,3.7,32,589,14157,15584,0.037795175
stearnscounty,150642,mn,stearnscountymn,34816,126114,0.276067685,27.5,91.7,7.8,3.6,84.6,2.4,68.1,184900,62789,6.8,9.8,112.2,811,12950,14324,0.056618263
steelecounty,36576,mn,steelecountymn,7328,29528,0.248171227,26,92.5,3.5,8.2,85.8,1.1,75.2,169300,64903,4.9,7.8,85.1,111,2770,3076,0.036085826
stevenscounty,9726,mn,stevenscountymn,2147,7555,0.28418266,30.5,94,1.3,7.7,85.8,2.2,68.5,160100,60559,6.2,9.2,17.3,0,912,1007,0
swiftcounty,9783,mn,swiftcountymn,1858,6754,0.275096239,19.6,90.6,1.2,5.2,90.1,0.6,70.3,104100,51620,2.7,5.5,13.2,0,1008,1048,0
toddcounty,24895,mn,toddcountymn,7383,22449,0.328878792,15.1,87,0.7,6.8,90.4,0.5,82.6,153400,53585,3.6,10.5,26.3,0,2001,2067,0
traversecounty,3558,mn,traversecountymn,481,1856,0.259159483,17.5,93.3,0.7,4,86.9,0.5,79.6,81400,51957,1.9,3.9,6.2,27,291,332,0.081325301
wabashacounty,21676,mn,wabashacountymn,3451,17909,0.19269641,23.7,93.4,0.7,3,94.6,0.6,78.6,183900,65226,1.9,3.4,41.4,44,1788,1875,0.023466667
wadenacounty,13843,mn,wadenacountymn,3892,10682,0.364351245,13.8,90.6,1.1,2.1,93.7,0.5,76.5,132000,46605,1.5,3.3,25.8,0,1097,1152,0
wasecacounty,19136,mn,wasecacountymn,4710,16521,0.285091701,21.4,93,2.3,6.4,88.7,0.9,77.5,158900,56762,3.6,5.1,45.2,50,1298,1442,0.034674064
washingtoncounty,238136,mn,washingtoncountymn,27627,205525,0.134421603,44.3,96.1,5,4.5,81.6,6.4,81.1,289400,96671,6.9,9.8,619.7,2089,18613,21302,0.098065909
watonwancounty,11211,mn,watonwancountymn,1983,6897,0.287516311,15.5,84.5,1.2,26.9,70.4,1.1,76.9,96900,54065,12.2,21.2,25.8,60,796,926,0.064794816
wilkincounty,6576,mn,wilkincountymn,1124,4739,0.23718084,23.8,94.9,0.6,3.1,92.8,0.5,78.1,140000,60595,0.5,1.4,8.8,30,631,709,0.042313117
winonacounty,51461,mn,winonacountymn,11010,39720,0.277190332,30.1,93.5,1.8,3.1,91,2.6,70.4,167300,59329,3.3,6.2,82.2,79,3370,3637,0.021721199
wrightcounty,124700,mn,wrightcountymn,16006,108912,0.146962685,29.6,94.9,1.8,3.1,91.7,1.4,81.6,238500,84974,2.8,4.1,188.5,302,11318,11975,0.025219207
yellowmedicinecounty,10438,mn,yellowmedicinecountymn,2327,8259,0.281753239,17.2,91.3,0.9,5.1,88.7,0.6,79.4,110000,59210,2.1,4,13.8,32,877,954,0.033542977
adamscounty,32297,ms,adamscountyms,15318,28632,0.534995809,17.4,77.9,53.4,10.1,35.5,0.6,62.4,92100,29936,8,9.1,69.8,1097,2111,3323,0.330123382
alcorncounty,37057,ms,alcorncountyms,14505,33493,0.433075568,17.1,81.3,12.4,3.2,82.7,0.4,68.7,102700,42086,1.4,2.7,92.6,265,2726,3200,0.0828125
amitecounty,13131,ms,amitecountyms,5949,12141,0.489992587,12.6,81.9,40,1.3,57.9,0.2,84.9,83600,33981,0.4,1,18,314,491,823,0.381530984
attalacounty,19564,ms,attalacountyms,9672,17845,0.54200056,13.9,77.6,43.6,2,53,0.4,72.5,80700,33767,0.9,2.3,26.6,430,681,1213,0.354492993
bentoncounty,8729,ms,bentoncountyms,3603,8483,0.424731817,11.5,72.6,35.8,2.6,60.1,0.1,80.6,78000,36258,1.5,2.6,21.5,226,296,530,0.426415094
bolivarcounty,34145,ms,bolivarcountyms,18581,31719,0.585800309,23.6,77.8,63.7,2.2,32.7,1.1,53.6,96100,29854,2,3.3,39,1406,1145,2671,0.526394609
calhouncounty,14962,ms,calhouncountyms,6205,13555,0.457764662,11.8,77.5,28.5,6.3,64.3,0.2,74.5,70500,37263,3.2,5.3,25.5,149,1204,1385,0.107581227
carrollcounty,10597,ms,carrollcountyms,3866,10597,0.364820232,12.2,80.2,33,1.6,64.2,0.3,81.2,99000,46052,0,0,16.9,171,562,747,0.228915663
chickasawcounty,17392,ms,chickasawcountyms,7518,14508,0.518196857,12.4,75.4,44.6,5.4,48.7,0.5,69.7,66500,36548,2,3.5,34.7,324,976,1352,0.23964497
choctawcounty,8547,ms,choctawcountyms,3408,7829,0.435304637,19.1,80.5,29.7,1.6,67.1,0.4,78.6,81400,36777,0.1,0.4,20.4,184,575,802,0.229426434
claibornecounty,9604,ms,claibornecountyms,5456,8495,0.642260153,24,80.3,86.6,1.4,10.7,0.8,69.5,67500,29338,0.9,2.4,19.7,261,111,414,0.630434783
clarkecounty,16732,ms,clarkecountyms,6468,15518,0.416806289,12.5,82.9,34.7,1.1,62.9,0.2,83.3,84900,43207,0.4,0.5,24.2,296,755,1080,0.274074074
claycounty,20634,ms,claycountyms,8570,17662,0.485222512,20.4,81.7,59.3,1.6,38.4,0.4,71.4,89900,31833,0.5,0.9,50.3,643,779,1508,0.426392573
coahomacounty,26151,ms,coahomacountyms,11838,19892,0.595113614,16.5,79.5,77.6,1.7,19.9,0.5,50.6,68300,29121,0.5,1.4,47.3,1225,724,2075,0.590361446
copiahcounty,29449,ms,copiahcountyms,12519,27148,0.461138942,14.5,80.2,51.9,3.3,43.9,0.4,77.2,95200,42151,1.6,2.9,37.9,922,1109,2104,0.438212928
covingtoncounty,19568,ms,covingtoncountyms,8281,18060,0.458527132,14.7,83.2,36.1,2.4,60.3,0.4,78.2,77100,38178,0.6,1.2,47.3,741,991,1778,0.416760405
desotocounty,161252,ms,desotocountyms,37210,145892,0.255051682,25,90.4,30.1,5.1,61.9,1.6,74,168500,67038,3.7,5.5,338.7,3461,9195,13157,0.263053888
forrestcounty,74934,ms,forrestcountyms,27098,59557,0.454992696,27.8,87.4,37.8,3,56.9,1.1,54.5,122700,39840,2.5,3.6,160.7,1773,4393,6473,0.273906998
franklincounty,8118,ms,franklincountyms,3584,7756,0.462093863,12,84.6,34.5,1.2,62.8,0.1,76.9,76600,40219,0.4,0.4,14.4,117,344,497,0.235412475
georgecounty,22578,ms,georgecountyms,8702,21131,0.41181203,13.8,84.3,7.7,3,87,0.8,81.8,110800,47292,1.1,3.7,47.2,158,1341,1565,0.100958466
greenecounty,14400,ms,greenecountyms,4742,13656,0.347246632,9.7,76.2,25.4,1.2,72.2,0.2,82.8,77700,49677,1.8,1.5,20.2,162,502,679,0.238586156
grenadacounty,21906,ms,grenadacountyms,7793,17847,0.436656021,21.3,80.8,42.9,1.6,54.2,0.5,64,105000,40122,0.3,0.8,51.9,353,1401,1859,0.189887036
hancockcounty,43929,ms,hancockcountyms,14535,40423,0.359572521,22,87.5,8.4,3.9,84.5,0.9,75.5,147500,48119,2,3.6,92.7,405,3075,3586,0.112939208
harrisoncounty,187105,ms,harrisoncountyms,64381,157516,0.408726733,23.1,88.3,25.9,5.6,63.2,2.9,56.6,150500,47894,4.5,6.8,326,5041,10849,16566,0.30429796
hindscounty,245285,ms,hindscountyms,85314,195231,0.436990027,29,87.5,73.1,1.6,23.9,0.7,58,118600,44625,1.7,2.8,282,13396,9920,24277,0.551797998
holmescounty,19198,ms,holmescountyms,12902,17873,0.721870979,10.2,76.8,83.1,1.2,15.2,0.3,61.3,60400,21504,0.1,0.9,25.4,917,318,1306,0.702143951
humphreyscounty,9375,ms,humphreyscountyms,4966,7448,0.666756176,12.8,69.9,75.8,3.8,20,0.4,61.9,69100,28962,2.2,2.1,22.4,441,265,742,0.594339623
issaquenacounty,1406,ms,issaquenacountyms,857,1406,0.609530583,3.2,60.5,63.8,1.7,33.8,0.5,43.7,79200,24208,0,0.6,3.4,48,0,64,0.75
itawambacounty,23401,ms,itawambacountyms,9938,22365,0.444355019,13.2,79.1,7,1.7,89.6,0.5,76.3,87600,44567,0.3,1.4,43.9,131,1445,1634,0.080171359
jacksoncounty,139668,ms,jacksoncountyms,42691,122167,0.349447887,21.1,88.7,21.7,6.8,67.4,2.4,69.8,135900,51657,3.8,6.7,193.2,2851,7085,10223,0.278880955
jaspercounty,17062,ms,jaspercountyms,7666,16677,0.459675001,15.1,84.2,53.2,1.4,44.6,0.1,85,79000,35872,0.3,0.4,25.2,380,745,1151,0.330147698
jeffersoncounty,7726,ms,jeffersoncountyms,4714,6988,0.674585003,15.9,78,85.4,0.9,12.9,0.2,67.4,63400,25019,2.4,2.3,14.9,451,70,537,0.839851024
jeffersondaviscounty,12487,ms,jeffersondaviscountyms,6846,11914,0.574618096,14.1,82.4,59.6,1.9,37.5,0.3,75.6,94600,32116,0.6,0.8,30.6,587,407,1016,0.577755906
jonescounty,67761,ms,jonescountyms,26360,60996,0.432159486,20.8,84.1,29.7,4.7,64.2,0.5,72.6,98600,41775,2.5,4.3,97.5,955,3781,4906,0.1946596
kempercounty,10456,ms,kempercountyms,6430,10445,0.615605553,14.7,82.1,61.4,0.9,33.7,0.2,73.6,73600,31103,0.1,1.8,13.6,226,154,402,0.562189055
lafayettecounty,47351,ms,lafayettecountyms,19033,45304,0.420117429,45.6,90.4,23.7,2.7,70.2,2.2,62,199700,50272,3.7,5.2,75,843,3085,4197,0.200857756
lamarcounty,55658,ms,lamarcountyms,17858,51505,0.346723619,34.1,89.4,21,2.9,73.3,1.5,67.5,177700,60328,2.8,4.5,112,707,4284,5185,0.13635487
lauderdalecounty,80261,ms,lauderdalecountyms,34028,73481,0.463085696,19.7,84.5,44.2,2.3,52,0.8,64.5,96300,42534,1.9,3,114.1,1945,4107,6374,0.305145905
lawrencecounty,12929,ms,lawrencecountyms,4738,12051,0.393162393,17.6,81.7,32.4,2.2,64.4,0.4,75.2,94800,41914,0.7,1.5,30,224,563,828,0.270531401
leakecounty,23805,ms,leakecountyms,11218,21460,0.522739981,14.3,78.6,42.1,4.8,46.6,0.5,70.8,83300,37096,2.1,7.2,40.8,490,937,1466,0.334242838
leecounty,82910,ms,leecountyms,26527,71949,0.368691712,24.4,83.6,30.6,2.7,64.6,1,67.9,133700,50559,2.1,3.3,184.3,1269,5687,7338,0.172935405
leflorecounty,32317,ms,leflorecountyms,17989,27549,0.652981959,18.5,81.6,75,2.8,21.6,0.6,50.6,81200,26735,2,3.1,54.5,759,1247,2158,0.351714551
lincolncounty,34869,ms,lincolncountyms,13034,30208,0.431475106,16.2,86.3,30.3,1.3,66.9,0.4,75.3,99500,42606,0.5,1.1,59.5,659,1550,2307,0.285652362
lowndescounty,59779,ms,lowndescountyms,22719,53197,0.427072955,23.4,86,44.8,2.1,51.2,1,63.5,134200,50441,2.3,3.1,118.3,1439,3149,4847,0.296884671
madisoncounty,95203,ms,madisoncountyms,20864,83197,0.250778273,48.4,91.7,38.3,3.1,55.1,2.8,71.7,219700,71824,4.5,6.4,133.2,2650,8046,11227,0.236038122
marioncounty,27088,ms,marioncountyms,15038,26752,0.562126196,12.3,81.5,31.6,1.8,65.1,0.4,82.3,89000,32090,1.1,2.9,49.9,660,1707,2471,0.267098341
marshallcounty,37144,ms,marshallcountyms,14798,35162,0.420852056,13.8,82.1,47.1,4,47.9,0.3,75.5,107900,42233,1.6,4.8,52.6,1242,1698,2994,0.414829659
monroecounty,36989,ms,monroecountyms,14215,32826,0.433040882,16.7,81,30.5,1.4,67,0.3,74.3,91700,42354,0.8,1.3,48.3,394,1860,2355,0.167303609
montgomerycounty,10925,ms,montgomerycountyms,4509,9488,0.475231872,19.3,77.9,44.8,1.5,52.2,0.8,69.2,84800,39840,0.8,1.4,26.8,129,534,696,0.185344828
neshobacounty,29676,ms,neshobacountyms,12723,26846,0.473925352,11.6,80.3,21.3,2.2,57.7,0.4,71.5,83000,37987,1.4,9.4,52.1,349,1405,1821,0.191652938
newtoncounty,21720,ms,newtoncountyms,9569,19862,0.481774242,16.4,85.2,31.2,2,60.3,0.5,77.2,85600,35958,1.2,4,37.6,445,810,1300,0.342307692
noxubeecounty,11545,ms,noxubeecountyms,4841,9373,0.516483516,15.6,70.9,71.8,1.5,25.8,0.3,72.9,59700,33784,1.2,1,16.6,570,256,863,0.660486674
oktibbehacounty,47671,ms,oktibbehacountyms,20683,41349,0.500205567,42.6,90.7,37.6,1.7,56.2,3.3,51.7,162900,40453,4.1,5.1,104,1269,2007,3449,0.367932734
panolacounty,34707,ms,panolacountyms,16118,33362,0.483124513,14.9,80.6,50.1,2.2,46.6,0.2,69.6,83300,38304,1.4,1.8,50.7,1194,1574,2900,0.411724138
pearlrivercounty,55834,ms,pearlrivercountyms,17829,50034,0.35633769,16.7,83.8,12.3,3.3,81.7,0.4,77.8,138200,46901,1.5,2.4,68.9,651,3619,4403,0.147853736
perrycounty,12250,ms,perrycountyms,5452,11993,0.454598516,10.7,83,19.2,1.6,77.5,0.2,82.2,86700,42469,0.9,1,18.9,117,733,878,0.133257403
pikecounty,40404,ms,pikecountyms,18789,34634,0.542501588,16.6,83.2,54.1,1.6,42.8,0.7,69,95500,31784,0.7,2.7,98.8,1799,2107,4040,0.44529703
pontotoccounty,29957,ms,pontotoccountyms,12320,29023,0.424490921,18.1,76.5,15.6,7.3,75.9,0.4,71.3,106500,44759,3.4,6.8,60.2,147,1853,2060,0.071359223
prentisscounty,25276,ms,prentisscountyms,10819,21656,0.499584411,12.4,80.1,14.3,1.6,82.5,0.3,72.7,92700,39256,2,3,60.9,168,1847,2080,0.080769231
quitmancounty,8223,ms,quitmancountyms,5561,8223,0.676273866,10.3,71.3,71.7,1.8,25.3,0.2,58.7,50900,25283,0.4,0.4,20.3,266,216,524,0.507633588
rankincounty,141617,ms,rankincountyms,36921,127952,0.28855352,29,89.5,21.6,2.8,73.1,1.4,76.5,162500,65996,2.9,4.5,182.6,2121,11048,13659,0.155282231
scottcounty,28264,ms,scottcountyms,13396,25133,0.533004417,11.4,74,38.6,11.9,48.9,0.6,74.1,71300,34943,7.2,11.6,46.4,616,1141,1818,0.338833883
sharkeycounty,4916,ms,sharkeycountyms,2471,3653,0.676430331,19.5,77.5,71,2.3,25.9,0.6,64.1,64400,29394,1,0.1,11.4,229,155,407,0.562653563
simpsoncounty,27503,ms,simpsoncountyms,12557,25224,0.497819537,16.2,79.7,35.2,1.9,61.5,0.6,79.7,87900,43850,1.1,1.7,46.7,778,1291,2142,0.363211951
smithcounty,16491,ms,smithcountyms,6446,15639,0.412174691,12.2,79.2,23.7,1.8,73.9,0.1,83,102600,43105,0.9,2,25.9,223,697,936,0.238247863
stonecounty,17786,ms,stonecountyms,8193,17230,0.475507835,15.8,82.2,19.1,2.1,76.8,0.4,74.5,112800,45483,0.8,1.9,39.9,236,1149,1434,0.164574616
sunflowercounty,29450,ms,sunflowercountyms,15422,24774,0.622507468,15.4,74.9,73.8,2,23.6,0.4,53.6,78400,30838,0.6,1.4,42.2,1073,619,1786,0.600783875
tallahatchiecounty,15378,ms,tallahatchiecountyms,8398,13881,0.60499964,10.3,69.5,57,6.9,34.5,1,72,66400,29864,3,7.6,23.8,544,589,1180,0.461016949
tatecounty,28886,ms,tatecountyms,11174,27429,0.407379051,15.8,83,30.9,2.8,65,0.3,74.8,119200,51030,1.7,2.7,71.4,753,1328,2156,0.349257885
tippahcounty,22232,ms,tippahcountyms,8868,20431,0.434046302,15.2,79.9,16.7,4.8,76.8,0.3,72.3,86900,39246,2.2,4.4,48.6,141,1404,1595,0.088401254
tishomingocounty,19593,ms,tishomingocountyms,8500,17722,0.479629839,11.4,80.4,2.5,3.4,92.8,0.2,75.5,88100,37681,0.4,1.8,46.2,47,1298,1384,0.033959538
tunicacounty,10778,ms,tunicacountyms,4789,8563,0.559266612,16.9,83.5,77.6,2.5,18.6,0.8,40.2,107100,39370,2.7,3.7,23.7,533,409,1017,0.524090462
unioncounty,27134,ms,unioncountyms,10802,25065,0.430959505,13.4,78.1,15.4,4.5,77.6,1.2,73.1,100600,45754,2.6,3.6,65.3,211,2003,2307,0.091460772
walthallcounty,15443,ms,walthallcountyms,7666,14600,0.525068493,14.4,81.7,43.2,2.2,52.9,0.5,87.9,95800,30961,0.3,1.3,38.2,466,800,1324,0.351963746
warrencounty,48773,ms,warrencountyms,18570,43742,0.424534772,22.4,87.1,49.3,2.2,46.8,0.9,66.1,128400,45113,1.9,3,82.9,1151,2046,3424,0.336156542
washingtoncounty,51137,ms,washingtoncountyms,26539,44054,0.602419758,17.9,78.8,72.4,1.7,24.8,0.8,52.9,75600,29705,1.1,2.5,70.6,2243,1601,4060,0.552463054
waynecounty,20747,ms,waynecountyms,8325,18185,0.457794886,15.3,79.3,39.8,1.6,57.5,0.3,83.5,85800,37706,0.8,1.7,25.6,589,914,1547,0.38073691
webstercounty,10253,ms,webstercountyms,3617,9023,0.400864457,18.5,84.9,18.7,1.5,78.4,0.2,76.3,84000,45730,0.3,0.6,24.4,154,717,898,0.171492205
wilkinsoncounty,9878,ms,wilkinsoncountyms,5083,8805,0.577285633,13.7,74.8,70.6,1,27.6,0.1,79.9,70300,27313,0,0.1,14.6,317,407,752,0.421542553
winstoncounty,19198,ms,winstoncountyms,8463,17403,0.486295466,14.7,81.7,46.8,1.4,49.6,0.3,73.1,84900,34724,0.3,1.8,31.6,508,1080,1641,0.309567337
yalobushacounty,12678,ms,yalobushacountyms,4794,11619,0.412600052,13.8,83.3,38.9,1.7,58,0.2,70,79700,41464,0.5,2.3,27.1,171,947,1146,0.14921466
yazoocounty,28065,ms,yazoocountyms,15238,25723,0.592388135,13.4,78.9,57.1,8.5,33.5,0.6,63.2,88900,33279,3.3,7.3,30.4,903,893,1881,0.480063796
adaircounty,25607,mo,adaircountymo,10054,22071,0.455529881,31,90.1,3.4,2.6,89.4,2.6,60.1,126800,41929,4.1,5.9,45.1,59,1974,2175,0.027126437
andrewcounty,17291,mo,andrewcountymo,4098,14776,0.277341635,24.9,91.7,1.2,2.7,93.9,0.6,79.9,147900,58772,1.2,2.4,40,0,1299,1339,0
atchisoncounty,5685,mo,atchisoncountymo,1495,4616,0.323873484,23.1,91.5,0.5,1.5,96.1,0.4,69.7,84900,50236,0.9,1.1,10.4,0,612,737,0
audraincounty,25529,mo,audraincountymo,8991,22404,0.401312266,14.7,86.2,6.9,3.3,87.2,0.5,68.5,97900,44261,1.7,4.3,36.9,89,1819,2007,0.044344793
barrycounty,35597,mo,barrycountymo,15486,33354,0.464292139,14.6,83.6,0.7,9.9,84.5,2.4,73.7,120600,44403,5.2,8.4,45.7,198,2338,2637,0.075085324
bartoncounty,12402,mo,bartoncountymo,5280,12322,0.428501867,19.9,87.2,0.6,2.9,92.4,0.6,70.1,97500,44125,0.7,2.6,21,64,953,1054,0.060721063
batescounty,17049,mo,batescountymo,5913,15693,0.3767922,16.1,87.4,1.3,2.3,93.8,0.3,72.7,114600,47625,1.2,2.1,20.4,38,1098,1209,0.031430935
bentoncounty,19056,mo,bentoncountymo,7411,17241,0.429847457,13,84.5,0.6,2.1,94.5,0.4,81.6,117500,40249,1,3.6,27.1,56,1676,1802,0.031076582
bollingercounty,12363,mo,bollingercountymo,4906,11729,0.418279478,8.9,79.8,0.6,1.5,95.9,0.2,80.8,110800,44158,0.6,1.4,20,0,870,927,0
boonecounty,162642,mo,boonecountymo,43124,130444,0.330593971,46.1,94.5,9.8,3.5,78.4,5,55.6,185700,55328,6.9,8.2,237.3,1450,12997,15333,0.094567273
buchanancounty,89201,mo,buchanancountymo,26124,72426,0.360699196,21.1,88.3,6,6.9,82.7,1.5,62.4,122200,51916,4,6.2,218.6,373,5059,5813,0.064166523
butlercounty,42794,mo,butlercountymo,15884,35314,0.449793283,13.3,83,5.6,2.2,88.4,0.9,63.7,113500,39915,1.3,2.4,61.6,209,3054,3425,0.061021898
